cast,revenue,castPower
Rob_Corddry,4057.5 784.68 299721.07 865395.93 212431.3 977837.23,393371.29
Craig_Robinson,5710.47 15408.84 3125667.34 20402.47 80171.84 2781577.47 119478.24 463727.59,826518.03
Clark_Duke,31987.87 15568.04 286169.71 180613.06 5417154.91 1367235.51 12159.93,1044412.72
Adam_Scott,90917.44 25963.18 177940.82 6487.33 4253522.7 578492.51 168154.13 37039.75 84263.93 111460.82 11462.19 18681.19 5716142.62 205215.25,820410.28
Chevy_Chase,109454.92 28297.1 307.3 11395616.12 108933.28 106847.02 2845.52 19008.75 410312.99,1353513.67
Gillian_Jacobs,110736.37 54960.35 341.6 33151.47,49797.45
Bianca_Haase,120376.39 60948.01,90662.2
Collette_Wolfe,133176.55 61146.86 14263942.86,4819422.09
Kumail_Nanjiani,138805.68 170887.25 235050.15 2410.76,136788.46
Kellee_Stewart,143966.4 174152.87 14373836.87,4897318.71
Josh_Heald,158114.04 187396.96 3033863.27,1126458.09
Gretchen_Koerner,223771.44 238810.01 85379.82 7152042.04,1925000.83
Lisa_Loeb,301793.39 254947.13 2461044.41 4144766.16,1790637.77
Jessica_Williams,320022.59 308505.96 7977962.61 519908.58,2281599.94
Bruce_Buffer,323907.77 344030.93,333969.35
Mariana_Paola_Vicente,391410.72 439294.7,415352.71
Christian_Slater,465502.13 442896.13 83447.49 225015.18 9584.06 282450.19 465153.64 5817951.57 12132918.56 5150.57,1993006.95
Jason_Jones,533946.33 494438.95 323998.2 3122213.61,1118649.27
Olivia_Jordan,618712.77 505946.57 28562929.53,9895862.96
Christine_Bently,628197.94 858824.24 910601.75,799207.98
Stacey_Asaro,941656.25 919703.78,930680.02
John_Cusack,1432235.3 1147220.01 259889.68 294098.19 317.54 5081.97 69093.49 1240786.27 1447.87 817014.29 86192.54 44781.02 58697.6 306.53 2298185.45 1961485.99 141938.12 785.37,547753.18
Adam_Herschman,2366024.72 1683845.44 90869.43 672837.2,1203394.2
Kisha_Sierra,2720166.02 3880673.0,3300419.51
Anne_Hathaway,103280.35 1961151.26 3545642.56 487043.58 11262.0 16479.64 181152.71,900858.87
Julie_Andrews,207153.17 300239.53 62530.91 996145.82 11285.65 153114.43 420046.2,307216.53
Héctor_Elizondo,262537.36 58357.98 2890804.23 26337.18 111373.42 3325216.08 1210605.59 2337.7 768001.81,961730.15
John_Rhys-Davies,1083724.14 10923456.5 788890.78 6275833.59 28749583.01 414582.76 422653.07,6951246.26
Heather_Matarazzo,1809591.47 39738.43 17328708.13 142556.82,4830148.71
Chris_Pine,1959611.27 8161.81 171124.44 11926.96 69377.77 44607.64 228915.29,356246.45
Callum_Blue,2919584.03 1040806.08,1980195.05
Larry_Miller,3738656.94 481316.19 416042.07 1825115.04 43657399.7 6728342.88 3690.3 91424.31 1145718.61,6454189.56
Raven-Symoné,3826343.52 18120588.68 360897.7 411571.82,5679850.43
Kathleen_Marshall,4235947.99 6578251.05 228704.29,3680967.78
Caroline_Goodall,4484849.92 1.8 136138.98 92828.48 126626.26 709.88 510424.4 179745.53 153321.1,631627.37
Lorraine_Nicholson,4492327.04 4892323.46,4692325.25
Shannon_Wilcox,5003071.81 231417.48 546103.76 54148093.55,14982171.65
