id,genres,production_companies,cast,crew,production_countries,spoken_languages,year,weekday,month,cast_power,cast_number,crew_number,spoken_languages_number,runtime,popularity,budget,imdb_rating,imdb_votes
3001,Adventure Animation Family Fantasy,N/A,Craig_Blair Emily_Bauer Sarah_Natochenny Ikue_Ōtani Bill_Rogers Joshua_Swanson Bill_Timoney,Kunihiko_Yuyama Hideki_Sonoda,JP US,en ja,2007,Saturday,Jul,39570.88,7,2,2,90.0,3.8515339999999996,0,6.4,2845
3002,Horror Science_Fiction,Woolner_Brothers_Pictures_Inc.,Allison_Hayes William_Hudson Yvette_Vickers Roy_Gordon George_Douglas Otto_Waldis Eileen_Stevens Michael_Ross Frank_Chase Ken_Terrell,Edward_Mann Jacques_R._Marquette Jacques_R._Marquette Nathan_H._Juran Ronald_Stein Mark_Hanna Bernard_Woolner Carlie_Taylor,US,en,1958,Monday,May,317721.35000000003,10,8,1,65.0,3.559789,88000,5.1,4803
3003,Comedy Romance,Warner_Bros. Outlaw_Productions_(I) Miramax,Meg_Ryan Matthew_Broderick Kelly_Preston Tchéky_Karyo Maureen_Stapleton Nesbitt_Blaisdell Remak_Ramsay Lee_Wilkof Susan_Forristal,Griffin_Dunne Robert_F._Newmyer Jeffrey_Silver Rachel_Portman Andrew_Dunn Elizabeth_Kling Stephen_Alesch Dan_Lieberstein Mike_Maggi Robert_Gordon,US,en,1997,Friday,May,1749108.9300000002,9,10,1,100.0,8.085194,0,6.1,23224
3004,Drama War Mystery,TS_Productions Micro_scope Phi_Group,Lubna_Azabal Mélissa_Désormeaux-Poulin Maxim_Gaudette Rémy_Girard Allen_Altman Abdelghafour_Elaaziz Dominique_Briand Frédéric_Paquet Ahmad_Massad John_Dunn-Hill Jackie_Sawiris Lara_Atalla Baya_Belal Yousef_Shweihat Karim_Babin Mohamed_Majd Mustafa_Kamel Hussein_Sami Hamed_Najem Bader_Alami Majida_Hussein Asriah_Nijres Nadia_Essadiqi,Louis_Craig Lucie_Robitaille Gilles_Sacuto Miléna_Poylo Steve_Lucescu Monique_Dartonne Grégoire_Hetzel Grégoire_Hetzel Denis-Noël_Mostert Stéphane_Lefebvre Rana_Abboot Denis_Villeneuve Denis_Villeneuve Denis_Villeneuve Andrew_Cullen Philippe_Montel Kim_McCraw Constance_Demontoy Valérie_Beaugrand-Champagne André_Turpin Sophie_Lefebvre Eric_Tavitian André-Line_Beauparlant Anthony_Doncque Stephen_Traynor Wajdi_Mouawad Karim_Kheir Sylvie_Trudelle Ziad_Touma Sylvain_Bellemare Lara_Atalla Philippe_Lord Muhannad_Halawani Julie_Amyot Jocelyn_Caron Jean-Pierre_Laforce Réal_Hamel Karim_El_Fassi Phaedra_Dahdaleh Nathalie_Garon Ara_Khanikian Samy_Keilani Marie-Claude_L'Heureux Bertrand_Calmeau André_Duval Erik_Daniel Eric_Parenteau Séverin_Engler Benoit_Leduc Simon_Meilleur Jean_Umansky Emmanuelle_Villard Sebastien_Roussel Vincent_Poitras Mathieu_Raynault Laurent_Spillemaecker Benoit_Touchette Daniel_Chrétien_Jr. Denis_Lamothe Pierre_Malo Edith_Bellehumeur Guillaume_Girard Stéphane_Reichart Simon_Rhodes Benjamin_Caillaud Sébastien_Lépine Jim_Dobson Marie_Sabbah Karma_Hijjawi,CA FR,fr ar en,2010,Saturday,Sep,9582835.78,23,69,3,130.0,8.596012,6800000,8.3,144456
3005,History Documentary,N/A,Dennis_Hopper Peter_Bart Warren_Beatty Carl_Bernstein,Brian_Grazer Kim_Roth Ron_Howard Fenton_Bailey Fenton_Bailey Fenton_Bailey Randy_Barbato Randy_Barbato Randy_Barbato Jeremy_Simmons Teodoro_Maniaci David_Benjamin_Steinberg David_Kempner William_Grayburn,US,en,2005,Friday,Feb,1950295.24,4,14,1,92.0,3.21768,2000000,6.7,6449
3006,Comedy Drama,Castle_Rock_Entertainment Detour_Filmproduction,Jayce_Bartok Amie_Carey Nicky_Katt Ajay_Naidu Parker_Posey Giovanni_Ribisi Samia_Shoaib Steve_Zahn Dina_Spybey-Waters,Richard_Linklater Eric_Bogosian Eric_Bogosian,US,en,1996,Wednesday,Feb,7518138.43,9,3,1,121.0,8.67935,0,6.8,8722
3007,Romance Drama Comedy,X-Filme_Creative_Pool ARTE Westdeutscher_Rundfunk_(WDR) ARD_Degeto_Film,Sophie_Rois Sebastian_Schipper Devid_Striesow Annedore_Kleist Alexander_Hörbe Winnie_Böwe Hans-Uwe_Bauer Peter_Benedict Georgette_Dee Cedric_Eich Christopher_Karl_Hemeyer Hans_Hohlbein Senta_Dorothea_Kirschner Thomas_Kornmann Gotthard_Lange Alexander_Scheer Gundi_Anna_Schick Karl_Alexander_Seidel Mick_Slaney Hannes_Wegener Alexander_Yassin Martina_Ysker Michael_Dorn Angela_Winkler Christina_Große,Tom_Tykwer Tom_Tykwer,DE,en de,2010,Thursday,Dec,16195186.710000003,25,2,2,119.0,4.898882,0,6.7,4918
3008,Animation Family,Walt_Disney_Pictures,Jim_Cummings Nikita_Hopkins Ken_Sansom John_Fiedler Peter_Cullen Andre_Stojka Kath_Soucie Tom_Attenborough,Harry_Gregson-Williams Allen_Daviau A._A._Milne Mel_Metcalfe Jun_Falkenstein Greg_Tiernan Chris_Butler Toby_Bluth Robert_Fisher_Jr. Kimie_Calvert Richard_Whitfield Louis_L._Edemann Andy_D'Addario Elliot_Tyson Tom_E._Dahl Craig_R._Maras Craig_R._Maras Jeff_Johnson Jeff_Johnson Eric_Koenig Masaru_Oshiro Gabriele_Zucchelli Kazuhiro_Ohmame Sherry_Whitfield Dominick_Certo Cheryl_Abood Makoto_Arai Sharon_Morrill_Robinov Robert_Sledge Ritsuko_Notani,US,en,2000,Friday,Feb,28745316.78,8,30,1,77.0,7.023414,30000000,6.3,16948
3009,Drama Romance,Ecosse_Films 2_Entertain Bueprint_Pictures,Anne_Hathaway James_McAvoy Julie_Walters James_Cromwell Maggie_Smith Joe_Anderson Lucy_Cohu Laurence_Fox Ian_Richardson Anna_Maxwell_Martin Leo_Bill Jessica_Ashworth Michael_James_Ford Tom_Vaughan-Lawlor Chris_McHallem Helen_McCrory Michael_Patric Elaine_Murphy,Eve_Stewart Jeff_Abberley Julia_Blackman Julian_Jarrold Graham_Broadbent Robert_Bernstein Douglas_Rae Kevin_Hood Eigil_Bryld Veronica_McAleer Eimer_Ni_Mhaoldomhnaigh Adrian_Johnston Tim_Haslam Jeanette_McGrath Colm_Hogan,GB US,en tr,2007,Friday,Mar,21039624.88,18,15,2,120.0,7.829737,16500000,7.0,57541
3010,Animation Comedy Family,Pixar_Animation_Studios,Tom_Hanks Tim_Allen Joan_Cusack Kelsey_Grammer Don_Rickles Jim_Varney Wallace_Shawn John_Ratzenberger Annie_Potts Wayne_Knight John_Morris Laurie_Metcalf Estelle_Harris R._Lee_Ermey Jodi_Benson Jonathan_Harris Joe_Ranft Andrew_Stanton Jeff_Pidgeon Corey_Burton John_Lasseter Mickie_McGowan Phil_Proctor Lee_Unkrich,Andrew_Stanton Andrew_Stanton Lee_Unkrich Lee_Unkrich Graham_Walters John_Lasseter John_Lasseter David_Ian_Salter Richard_Halsey Gary_Rydstrom Gary_Rydstrom Jill_Culton Randy_Newman Randy_Newman Jim_Stewart Harley_Jessup Glenn_McQueen Rich_Quade Jean-Claude_Kalache Sophie_Vincelette Ruth_Lambert Mary_Hidalgo Bud_Luckey Ken_Mitchroney Angus_MacLane Bryn_Imagire Bryn_Imagire Glenn_Kim Laura_Phillips Yvonne_Herbst Robin_Cooper Randy_Berrett Randy_Berrett Nathaniel_McLaughlin Jerome_Ranft Norm_DeCarlo Derek_Williams Derek_Williams Robert_Anderson Mark_Sanford Billy_Merritt Brett_Pulliam Bret_'Brook'_Parker Gini_Cruz_Santos Jon_Childress_Farmer David_Eisenmann Doug_Sweetland Scott_Clark Andrew_Gordon Jeff_Pratt David_DeVan Stephen_Gregory John_Kahrs Bobby_Podesta Kyle_Balda Stephen_Barnes Michael_Berenstein Brett_Coderre Jimmy_Hayward Nancy_Kato Bobby_Beck Tim_Crawfurd Ike_Feldman Wendell_Lee Daniel_Mason James_Ford_Murphy Robert_H._Russ Patty_Kihm_Stevenson David_Tart Jon_Mead Peter_Nash Sanjay_Patel Roger_Rose Alan_Sperling Ross_Stevenson J._Warren_Trezevant Adam_Wood Tasha_Wedeen Kureha_Yokoo Paul_Mendoza Ken_Schretzmann Robert_Grahamjones Torbin_Xan_Bullock Katherine_Ringgold Axel_Geddes Chris_Vallance Mark_Yeager Luis_Alvarez_y_Alvarez Jack_Curtis_Dubowsky Perrin_Cutting Louis_Rivera Don_Conway Catherine_Roehl Paul_Cichocki Michael_Silvers Shannon_Mills Bruno_Coon Pete_Docter Ash_Brannon Ash_Brannon Ash_Brannon Ash_Brannon Rita_Hsiao Doug_Chamberlin Chris_Webb Karen_Robert_Jackson Sarah_McArthur Helene_Plotkin Sharon_Calahan Edie_Bleiman William_Cone Jim_Pearson Jim_Pearson Teresa_Eckton Tom_Myers Lisa_Jaime Galyn_Susman Ira_Hearshen Mildred_Iatrou Mickie_McGowan Colin_Brady Karen_Prell Dylan_Brown Anthony_Scott Mark_Oftedal Chris_Montan Mark_A._Walsh Jennifer_Leo_Russ Barney_Jones David_Slusser Michael_Parks Timothy_Hittle Mike_Quinn Dave_Gordon Peter_Lepeniotis Sean_Hargreaves Christina_Yim Graham_Moloy Lucas_Putnam Sarah_Schubart Steven_Clay_Hunter Gary_Summers Dale_E._Grahn A.J._Riebli_III Susan_Bradley Adam_Schnitzer Mark_R.R._Farquhar David_Orecklin Mary_Helen_Leasman Jonathan_Sacks Dan_Lee Ethan_Hurd Jeff_Wan Doug_Sheppeck Roman_Figun Tom_Freeman Susan_Sanford Matt_White David_Skelly Jen_Kinavey Wade_Childress Craig_McGillivray Stephen_Moros Nicolas_Alan_Barillaro Jennifer_Cha Melanie_Cordan Bob_Koch Karyn_Metlen Valerie_Mih Andrea_Schultz Christian_Hill Mike_Marsh,US,en,1999,Saturday,Oct,67235353.59,24,172,1,92.0,17.547693,90000000,7.9,517340
